county,Latitude,Longitude
Albany,42.6145105,-74.2509959
Allegany,42.2446061,-78.0419281
Bronx,40.8504855,-73.8404036
Broome,42.1455623,-75.8404114
Cattaraugus,42.2234823,42.2234823
Cayuga,42.8093409,-76.5700777
Chautauqua,42.2894671,-79.421728
Chemung,42.1384667,-76.7725493
Chenango,42.4784565,-75.6130279
Clinton,44.7278943,-73.6686982
Columbia,42.2415027,-73.6723456
Cortland,42.5842136,-76.0704906
Delaware,42.194917,-75.0016302
Dutchess,41.7194303,-73.7516205
Erie,42.7164263,-78.7620327
Essex,44.0638879,-73.7542043
Franklin,44.5599139,-74.3273735
Fulton,43.1061507,-74.4461771
Genesee,43.0102726,-78.1780196
Greene,42.2628769,-74.0878112
Hamilton,43.6307863,-74.4659275
Herkimer,43.0256259,-74.9859889
Jefferson,44.059311,-75.9995742
Kings,40.6453098,-73.955023
Lewis,43.7344277,-75.440289
Livingston,42.7360902,-77.7781416
Madison,42.875882,-75.6802581
Monroe,43.150094,-77.6810141
Montgomery,42.8941269,-74.4099745
Nassau,40.7412643,-73.5877699
New York,40.7900869,-73.9598295
Niagara,43.2042439,-78.7676017
Oneida,43.2144051,-75.4039155
Onondaga,43.015598,-76.2257127
Ontario,42.8580624,-77.295025
Orange,41.3873306,-74.2507287
Orleans,43.2244513,-78.2272835
Oswego,43.4112973,-76.1279841
Otsego,42.5984272,-75.0142701
Putnam,41.426996,-73.760156
Queens,40.6524927,-73.7914214
Rensselaer,42.7091389,-73.5107732
Richmond,40.564209,-74.1253046
Rockland,41.1519319,-74.0357266
Saratoga,43.0833231,-73.8712155
Schenectady,42.831851,-74.0445388
Schoharie,42.5757217,-74.4390277
Schuyler,42.3899705,-76.8744093
Seneca,42.7831619,-76.8386051
St Lawrence,44.4973591,-75.0657043
Steuben,42.2359045,-77.3750862
Suffolk,40.8832318,-72.8578027
Sullivan,41.7156311,-74.7804323
Tioga,42.1333395,-76.3309339
Tompkins,42.443114,-76.4725921
Ulster,41.8689317,-74.2618518
Warren,43.5018687,-73.8164637
Washington,43.2294536,-73.4471343
Wayne,43.1500557,-77.0377603
Westchester,41.1763139,-73.7907554
Wyoming,42.7039813,-78.2415228
Yates,42.6444444,-77.112177
